,datetime,nav,cash_position,margin_requirement
0,1976-12-31,74.72000083799789,84.9268960193254,95.26518814371295
0,1977-01-31,71.80954119639316,82.64028662378468,87.03673349313678
0,1977-02-28,72.67000951302495,80.76693432778697,83.5297675692719
0,1977-03-31,71.82234991778077,78.95397118203677,81.01442816560697
0,1977-04-29,67.25795159377114,77.19749479955232,78.69693917857819
0,1977-05-31,67.13464131981644,75.4379578634961,75.78849960858304
0,1977-06-30,67.69896868846395,73.97268243763334,79.08495177714468
0,1977-07-29,67.33361177700587,72.6842035633421,77.38957914150417
0,1977-08-31,70.94217433656266,71.66438610683197,76.25328099616573
0,1977-09-30,71.17236064214543,70.48760458836321,74.74930453176658
0,1977-10-31,71.51524450468122,69.69144304047879,70.73578942080641
0,1977-11-30,71.23541472288022,69.03361228195061,73.39551633115336
0,1977-12-30,71.67685579931816,68.79439204786951,73.21086669518496
0,1978-01-31,71.16145547572769,68.69760043216182,69.68455073342213
0,1978-02-28,70.36551092198103,68.47659985130488,68.98630719721258
0,1978-03-31,69.60060338939155,68.236944780462,71.96235178912929
0,1978-04-28,70.37052417295045,68.38590421543705,77.83137924134132
0,1978-05-31,73.51102775198731,68.92114236117185,79.74057005501817
0,1978-06-30,73.38696070474596,69.27764259066657,78.96444566889778
0,1978-07-31,74.42051082286322,69.70683940179983,82.98241287039033
0,1978-08-31,74.81037126281839,69.89738863784794,86.23000747010585
0,1978-09-29,72.66569757552858,69.84087531794994,83.85076942865979
0,1978-10-31,72.33951723319504,69.74535325751937,74.22199872852761
0,1978-11-30,73.54688649363422,69.78219773103078,75.7017330498483
0,1978-12-29,74.49174419388373,69.92590926139238,76.40804842061215
0,1979-01-31,73.11354964536093,69.92765760912097,78.811167656464
0,1979-02-28,72.22234462452451,69.97863436032702,74.72046424648866
0,1979-03-30,70.9925618160372,70.05486097974995,78.38683160583557
0,1979-04-30,70.41445323012113,70.07209895502848,78.26441291778863
0,1979-05-31,69.17298912283972,69.75338641361472,77.17002036277093
0,1979-06-29,64.67884279563629,68.99374259489485,79.78470430602853
0,1979-07-31,63.34293276265362,68.0562477008865,80.32109418573881
0,1979-08-31,66.4744560719022,67.37980613450678,84.10473694538558
0,1979-09-28,66.8392142780033,66.93938786127853,81.63435532956814
0,1979-10-31,68.6896270248927,66.74816636292842,73.60588205949335
0,1979-11-30,68.6069519311816,66.21411078864392,76.54693920035201
0,1979-12-31,68.74720358685033,65.63059713691067,76.36892187729933
0,1980-01-31,65.33357759350172,64.84016368035542,75.63153816778569
0,1980-02-29,67.17571597278217,64.33408420168284,70.16073214616603
0,1980-03-31,67.79560314861988,64.09186807348418,65.92057254542246
0,1980-04-30,65.70568661222521,63.65996132686223,69.14909676757202
0,1980-05-30,66.33950269657839,63.487472067925474,73.36514395869875
0,1980-06-30,64.17930687656752,63.56569016352327,74.99069583765731
0,1980-07-31,70.32191830265157,64.17418935436365,79.77788409665338
0,1980-08-29,70.83144086030615,64.50597849258656,80.63582561387484
